,Baseline,B: Regime-Gate+Richtung,C: Regime-TP (VWAP/1/2sd),D: skip erste 30min,D+B: skip30 + Regime
2013-07-17,86237.1962698698,80381.93849600478,86073.1215918048,87600.88685516664,80352.54383509033
2013-07-18,86383.33506204838,80440.82746467847,86029.16705117011,87369.27684036198,80199.04316257125
2013-07-19,86383.33506204838,80440.82746467847,86029.16705117011,87369.27684036198,80199.04316257125
2013-07-22,86383.33506204838,80062.61910000705,86029.16705117011,87369.27684036198,80187.67923115137
2013-07-23,86488.76342019226,79217.25613359058,86071.07111519093,87369.27684036198,79505.92358232812
2013-07-24,85982.90797382825,78275.09635577777,85567.65866742042,86858.27144744335,78954.36193432553
2013-07-25,85588.56138898917,78723.41922996847,85175.21655580396,86858.27144744335,79035.35851276612
2013-07-26,85588.56138898917,78723.41922996847,85175.21655580396,86858.27144744335,79035.35851276612
2013-07-29,85413.91559797505,78562.78194854173,85001.4142061818,86681.03477846706,78874.08471073535
2013-07-30,84666.02988472514,78193.53552288124,84192.35441700509,85984.72025709119,78564.18318249297
2013-07-31,84467.02897250142,77693.83881828362,84229.32286633243,85984.72025709119,78155.27539393952
2013-08-01,84694.66413396424,77903.22051146268,84456.31741963707,86131.09403117376,78288.32092330413
2013-08-02,84694.66413396424,77903.22051146268,84456.31741963707,86131.09403117376,78288.32092330413
2013-08-05,84246.44671375802,77862.52403960889,84185.15708509232,85925.71904298241,78296.01281997058
2013-08-06,84055.71275839808,76546.6473833395,83994.56188945168,85925.71904298241,77276.61648502022
2013-08-07,83434.25463941027,76232.20119348526,83373.55588374377,85925.71904298241,77324.94666414776
2013-08-08,83434.25463941027,75876.55114804777,83373.55588374377,85925.71904298241,77431.39590428636
2013-08-09,83434.25463941027,75876.55114804777,83373.55588374377,85925.71904298241,77431.39590428636
2013-08-12,83434.25463941027,76178.12296894923,83373.55588374377,85925.71904298241,77739.1474652691
2013-08-13,83079.82592570203,76210.33151937941,83487.87145055487,85925.71904298241,78119.5100150433
2013-08-14,83791.04466811309,76862.74280621114,84202.58333491464,86221.55429277934,78388.46912317429
2013-08-15,83711.16111519429,76615.33445564595,84031.70447117717,86221.55429277934,78259.48348470246
2013-08-16,83711.16111519429,76615.33445564595,84031.70447117717,86221.55429277934,78259.48348470246
2013-08-19,83711.16111519429,76615.33445564595,84031.70447117717,86221.55429277934,78259.48348470246
2013-08-20,83357.51022518934,76783.83790347834,83563.90742446906,86083.543212711,78431.60298122949
2013-08-21,83787.80498338964,76273.46914017707,83844.46309674587,86527.90986079912,77910.28181117303
2013-08-22,83920.09751179823,76393.8972870303,83976.84508262468,86411.84102994624,77805.7726957236
2013-08-23,83920.09751179823,76393.8972870303,83976.84508262468,86411.84102994624,77805.7726957236
2013-08-26,83669.67994082303,76393.8972870303,83726.25817689813,86411.84102994624,77805.7726957236
2013-08-27,83435.67163823161,76180.2379752566,83492.09163565925,86170.16342035672,77588.1646349157
2013-08-28,82957.53648729996,75743.68069864907,83013.63316517549,85676.3580337178,77143.5391158802
2013-08-29,82957.53648729996,75743.68069864907,83013.63316517549,85676.3580337178,77143.5391158802
2013-08-30,82957.53648729996,75743.68069864907,83013.63316517549,85676.3580337178,77143.5391158802
2013-09-03,82851.7440612753,75647.08781418733,82907.76920130271,85332.14667498591,76833.60901350572
2013-09-04,82526.53954108234,75350.16256324254,82582.34477470962,85332.14667498591,76833.60901350572
2013-09-05,83107.0183906494,75880.1638927861,83163.21614961456,85932.35972897355,77374.04467476404
2013-09-06,83107.0183906494,75880.1638927861,83163.21614961456,85932.35972897355,77374.04467476404
2013-09-09,83147.17336836345,75916.82705733052,83203.39828050772,85541.41227511692,77022.03309431179
2013-09-10,82941.13882551486,76353.73467807035,83146.1369890955,85221.9167283909,77373.09207945893
2013-09-11,82802.24221838504,76225.86960606086,83006.89708369666,85542.20600707644,77663.88314357898
2013-09-12,82390.97448118815,76466.66954234845,82601.07702765352,85386.02299237216,77794.8476176685
2013-09-13,82390.97448118815,76466.66954234845,82601.07702765352,85386.02299237216,77794.8476176685
2013-09-16,82390.97448118815,75142.5726925531,82601.07702765352,85386.02299237216,76444.32906302573
2013-09-17,82268.12530504419,75224.94707924964,82460.16751860414,85386.02299237216,76444.32906302573
2013-09-18,82459.90922687386,74896.76599961249,82822.33117906465,85525.68427986049,75974.48518965303
2013-09-19,82033.96580249663,74509.88969470553,82394.51567831925,85508.2967497849,75959.03943604889
