date,dir,entry,exit,contracts,reason,pnl_gross,pnl_net,bar,q
2020-08-13,-1,11220.42,11234.87,2,SL,-578.0000000000291,-598.0000000000291,60,
2020-08-17,1,11251.755592201394,11266.23567353447,3,TP,868.804879984491,853.804879984491,61,
2020-08-17,-1,11266.307055715723,11270.52,2,BE,-168.5177713711164,-188.5177713711164,81,
2020-08-17,1,11252.798878194495,11267.65232693866,2,TP,594.1379497665912,584.1379497665912,104,
2020-08-17,-1,11267.683774443143,11253.420278189573,2,TP,570.5398501428135,560.5398501428135,127,
2020-08-17,1,11253.285511989383,11267.268824529472,2,TP,559.3325016035669,549.3325016035669,175,
2020-08-18,1,11358.794416521425,11331.24,2,SL,-1102.1766608570033,-1122.1766608570033,25,
2020-08-18,1,11339.49,11335.35,4,SL,-331.19999999995343,-371.19999999995343,29,
2020-08-19,1,11380.84,11375.82,4,SL,-401.6000000000349,-441.6000000000349,15,
2020-08-24,1,11702.495283055763,11716.009948167217,3,TP,810.8799066872234,795.8799066872234,16,
2020-08-24,1,11703.599723373749,11664.92,3,SL,-2320.7834024249314,-2350.7834024249314,23,
2020-08-25,1,11605.38150156816,11591.49,2,SL,-555.6600627263833,-575.6600627263833,25,
2020-08-25,1,11602.621046918093,11623.999553953243,1,TP,427.5701407029919,422.5701407029919,45,
2020-08-25,-1,11629.38,11642.72,3,SL,-800.4000000000087,-830.4000000000087,48,
2020-08-26,1,11781.09384087569,11791.606847669966,3,TP,630.7804076565299,615.7804076565299,16,
2020-08-26,1,11783.22964641018,11776.21,3,SL,-421.1787846108564,-451.1787846108564,23,
2020-08-26,1,11770.59,11773.11,1,SL,50.40000000000873,40.40000000000873,25,
2020-08-26,-1,11794.892354827005,11780.007126426264,2,TP,595.4091360296297,585.4091360296297,33,
2020-08-27,-1,11973.48839848913,11945.430904562489,1,TP,561.1498785328149,556.1498785328149,16,
2020-08-27,-1,11972.425581576132,12001.82,1,SL,-587.8883684773609,-597.8883684773609,23,
2020-08-27,1,11945.459660449798,11918.64,1,SL,-536.3932089959781,-546.3932089959781,37,
2020-08-27,1,11967.8486918665,11937.4,1,SL,-608.9738373300133,-618.9738373300133,187,
2020-08-31,-1,12034.000896805146,12050.23,1,SL,-324.582063897069,-334.582063897069,22,
2020-08-31,1,12043.008147943592,12074.79975750432,1,TP,635.8321912145402,630.8321912145402,135,
2020-09-01,-1,12188.32,12216.8,1,SL,-569.5999999999913,-579.5999999999913,23,
2020-09-01,1,12208.271064230978,12243.210644660297,1,TP,698.7916085863981,693.7916085863981,155,
2020-09-02,-1,12395.815771141433,12406.74,2,SL,-436.96915434265975,-456.96915434265975,15,
2020-09-02,-1,12401.48300287758,12378.072129038266,1,TP,468.21747678626707,463.21747678626707,19,
2020-09-02,1,12302.72456333632,12291.35,1,BE,-227.4912667263925,-237.4912667263925,98,
2020-09-03,-1,12196.393487630707,12162.662399685347,1,TP,674.6217589071966,669.6217589071966,39,
2020-09-03,1,12159.37,12132.54,1,SL,-536.5999999999985,-546.5999999999985,43,
2020-09-08,1,11144.35,11127.33,4,SL,-1361.600000000035,-1401.600000000035,13,
2020-09-08,1,11130.27,11230.458058124876,1,TP,2003.7611624975034,1998.7611624975034,23,
2020-09-09,-1,11274.055016647895,11297.82,1,SL,-475.29966704209073,-485.29966704209073,33,
2020-09-10,1,11509.221559848402,11528.767744092474,2,TP,781.8473697629088,771.8473697629088,18,
2020-09-10,-1,11527.207251944248,11555.16,1,SL,-559.0549611150345,-569.0549611150345,34,
2020-09-10,1,11510.972527142421,11478.66,1,SL,-646.2505428484292,-656.2505428484292,76,
2020-09-14,-1,11270.8,11280.04,4,SL,-739.2000000001281,-779.2000000001281,13,
2020-09-14,-1,11275.03,11291.93,2,SL,-675.9999999999854,-695.9999999999854,16,
2020-09-14,1,11308.6569786959,11288.69,1,SL,-399.33957391800504,-409.33957391800504,183,
2020-09-15,1,11446.393992438212,11429.61,2,SL,-671.35969752846,-691.35969752846,50,
2020-09-16,-1,11466.476485851705,11442.428848811258,1,TP,480.9527408089343,475.9527408089343,44,
