date,time,volume
2026-08-19,09:55,365577
2026-08-19,10:00,357200
2026-08-19,10:05,301719
2026-08-19,10:10,531369
2026-08-19,10:15,409215
2026-08-19,10:20,230384
2026-08-19,10:25,317779
2026-08-19,10:30,318762
2026-08-19,10:35,505359
2026-08-19,10:40,401978
2026-08-19,10:45,343048
2026-08-19,10:50,295702
2026-08-19,10:55,416878
2026-08-19,11:00,328587
2026-08-19,11:05,242869
2026-08-19,11:10,233858
2026-08-19,11:15,189957
2026-08-19,11:20,209185
2026-08-19,11:25,429972
2026-08-19,11:30,205650
2026-08-19,11:35,259272
2026-08-19,11:40,753451
2026-08-19,11:45,223318
2026-08-19,11:50,309116
2026-08-19,11:55,172805
2026-08-19,12:00,215066
2026-08-19,12:05,203134
2026-08-19,12:10,160110
2026-08-19,12:15,252767
2026-08-19,12:20,166996
2026-08-19,12:25,195941
2026-08-19,12:30,592691
2026-08-19,12:35,376918
2026-08-19,12:40,188831
2026-08-19,12:45,320128
2026-08-19,12:50,281749
2026-08-19,12:55,266580
2026-08-19,13:00,299283
2026-08-19,13:05,197155
2026-08-19,13:10,188068
2026-08-19,13:15,133715
2026-08-19,13:20,462496
2026-08-19,13:25,138959
2026-08-19,13:30,226553
2026-08-19,13:35,179273
2026-08-19,13:40,232366
2026-08-19,13:45,153701
2026-08-19,13:50,131694
2026-08-19,13:55,214806
2026-08-19,14:00,344237
2026-08-19,14:05,355048
2026-08-19,14:10,219193
2026-08-19,14:15,359299
2026-08-19,14:20,219192
2026-08-19,14:25,169152
2026-08-19,14:30,246735
2026-08-19,14:35,112470
2026-08-19,14:40,274173
2026-08-19,14:45,169729
2026-08-19,14:50,424967
2026-08-19,14:55,163110
2026-08-19,15:00,205676
2026-08-19,15:05,290410
2026-08-19,15:10,130313
2026-08-19,15:15,607852
2026-08-19,15:20,553735
2026-08-19,15:25,637699
2026-08-19,15:30,457266
2026-08-19,15:35,789867
2026-08-19,15:40,361742
2026-08-19,15:45,649946
2026-08-19,15:50,937871
2026-08-19,15:55,4596251
2026-08-20,09:30,1861245
2026-08-20,09:35,936615
2026-08-20,09:40,448531
2026-08-20,09:45,619548
2026-08-20,09:50,482422
2026-08-20,09:55,415264
2026-08-20,10:00,346518
2026-08-20,10:05,445379
2026-08-20,10:10,399204
2026-08-20,10:15,532728
2026-08-20,10:20,491794
2026-08-20,10:25,264369
2026-08-20,10:30,250402
